,Anbieter,Aufgaben,Bewerbungsdetail,Email,Frist,Kontakter,Profil vom Anbieter,Profil vom Bewerber,Tele,URL,id,stelle_name,stelle_type
0,Lehrstuhl für Technische Thermodynamik ,"Die geplanten Arbeiten finden innerhalb eines großen Verbundprojektes statt, das sich mit Möglichkeiten zur Vernetzung von Stahl-, Chemie- und Energieindustrie beschäftigt. Ziele des Projektes sind unter anderem die stoffliche Nutzung von CO2-haltigen Abgasen aus der Stahlindustrie sowie die effiziente und zuverlässige Nutzung von elektrischer Energie aus erneuerbaren Energiequellen. 
Im Rahmen der ausgeschriebenen Arbeit soll zunächst eine Recherche zu verfahrenstechnischen Prozessen zur stofflichen Nutzung von CO2 durchgeführt werden. Dies betrifft sowohl die bereits industriell angewendeten Prozesse als auch den aktuellen Stand der Forschung sowie zur Modellierung und Simulation benötigte experimentelle Daten. Anschließend sollen Prozessmodelle mit einer gängigen Simulations-Software erstellt, Simulationen durchgeführt und die Ergebnisse ausgewertet und diskutiert werden. 
Die Stelle bietet die Möglichkeit für einen Einblick in die aktuelle Forschung zur stofflichen Verwertung von CO2 und den aktiven Beitrag zur Forschung. Außerdem kann im Rahmen der Arbeit praktische Erfahrung mit gängiger Software zur Modellierung und Simulation verfahrenstechnischer Prozesse und der Recherche benötigter Daten gesammelt werden. Bei Interesse wird um eine Bewerbung per Mail mit Lebenslauf und aktueller Notenübersicht gebeten. ","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 6 Monate. Andere Vertragslaufzeiten und Vertragsverlängerung sind nur nach Absprache möglich.Die regelmäßige Wochenarbeitszeit beträgt 8 Stunden. Andere Arbeitszeiten sind nach Absprache möglich.Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Christoph.Gertig@ltt.rwth-aachen.de,31.03.2017,Christoph Gertig,"Am Lehrstuhl für Technische Thermodynamik (LTT) der RWTH Aachen werden Fragestellungen aus Energie- und Verfahrenstechnik auf Molekül- bis hin zur Prozessebene bearbeitet. Die ausgeschriebene Stelle hat einerseits Bezug zu den Arbeiten der Arbeitsgruppe Energiesystemtechnik, die sich unter anderem mit der energetischen und ökologischen Bewertung industrieller Produktionsprozesse beschäftigt. Darüber hinaus besteht ein Bezug zur Arbeitsgruppe ""Molekulare Thermodynamik"", die Vorgänge auf Molekül-Ebene betrachtet und die gewonnenen Erkenntnisse beispielsweise zum Design von Produktionsprozessen nutzt. Die Arbeit wird in einem netten, motivierten Team mit enger Betreuungsmöglichkeit durchgeführt. ","- Studienrichtung Maschinenbau/Wirt.-Ing./CES/Umweltingenieurwesen mit Vertiefung Verfahrenstechnik oder Vergleichbares, 
- Interesse an aktuellen Themen der Verfahrens- und Energietechnik,
- Interesse an der Einarbeitung in Methoden und Software zur Prozess- und Stoffdatenmodellierung sowie Prozesssimulation, idealerweise Vorkenntnisse in diesem Bereich",+49 241 80-95388,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19519/,19519,Recherche und Prozess-Simulation,Studentische Hilfskraft
1,Nora Leuning,"Da wir eine Studentische Hilfskraft für ein längerfristiges Arbeitsverhältnis suchen, können viele Kenntnisse während der Tätigkeit erworben werden, so dass sich eigentlich nur wenige Anforderungen ergeben.
- idealerweise Grundkenntnisse Elektromagnetismus und magnetische Werkstoffe
- gute MS-Office-Kenntnisse sowie ein hohes Maß an Eigeninitiative und Kreativität sind für dich selbstverständlich
- Teamfähigkeit
- gute Sprachkenntnisse in Deutsch und Englisch ",,mailto:simon.steentjes@iem.rwth-aachen.de,30.04.2017,Simon Steentjes,"Institut für Elektrische Maschinen, Lehrstuhl für Elektromagnetische Energiewandlung","Das Institut für Elektrische Maschinen (IEM) der RWTH Aachen ist ein weltweit führendes und anerkanntes Forschungsinstitut mit der Spezialisierung im Bereich der elektromagnetischen Energiewandlung und der Antriebstechnik. Das IEM arbeitet in einer Vielzahl von öffentlich und industriell geförderten Forschungsprojekten mit namhaften Partnern zusammen. Diese engen Kontakte in den Bereichen der Industrieanwendung, der Automobilindustrie und der regenerativen Energieerzeugung stellen die Aktualität und den Anwendungsbezug unserer Forschung sicher. Darüber hinaus werden vielversprechende Grundlagenthemen erforscht.
Unser teamorientierter Arbeitsstil gibt Ihnen den entsprechenden Freiraum für wissenschaftliches Arbeiten mit einem hohen Maß an Motivation, Eigenverantwortung und Kreativität. 
Was wir bieten:
- ideale Rahmenbedingungen für Praxiserfahrungen neben dem Studium
- eine exzellente technische Arbeitsausstattung
- flexible Arbeitszeiten und Mitarbeit in einem engagierten Team",+49 241 80-97681,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19523/,19523,,Studentische Hilfskraft
2,Institut für Textiltechnik (ITA) der RWTH Aachen University,"- Pflege der Kundendatenbank und Presseliste
- Unterstützung bei Veranstaltungen, Messen und Events
- Begleitende Tätigkeiten wie saisonbedingter E-Mail-Versand
- Übersetzen von Pressetexten vom Deutschen ins Englische - wir freuen uns über bereits bestehende Erfahrungen in diesem Bereich","Die Stelle ist zum 01.06.2017 zu besetzen und befristet auf 3 Monate.  Eine längerfristige Zusammenarbeit ist gewünscht (mind. ein Jahr).Die regelmäßige Wochenarbeitszeit beträgt 6 Stunden. Nach drei Monaten kann die Arbeitszeit je nach Arbeitsanfall auf 8 oder 10 Stunden erhöht werden.Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Viola.Siegl@ita.rwth-aachen.de,31.03.2017,Viola Siegl,"Das ITA entwickelt Textilmaschinen und -komponenten, neue Werkstoffe und neue Verfahren zur Herstellung von Textilien und berät Unternehmen verschiedenster Branchen und Bereiche in Automobil, Medizin, Luftfahrt und vielen mehr.","Wir suchen eine studentische Hilfskraft (w/m) zur Unterstützung unseres Bereichs PR und Marketing mit folgenden Voraussetzungen:
- Student/in vorzugsweise mindestens im 3. Semester
- von Vorteil ist eine abgeschlossene Ausbildung, ein mehrmonatiges Praktikum oder ein ehrenamtliches Engagement
- erste praktische Erfahrungen in einem ähnlichen Arbeitsumfeld
- gute MS Office-Kenntnisse, vor allem Outlook und Excel
- sehr gute Deutschkenntnisse, gern Muttersprachler
- sehr gute Englischkenntnisse in Wort und Schrift, gern Französischkenntnisse
- gute Rechtschreibkenntnisse
- Zuverlässigkeit, Gewissenhaftigkeit, Leistungsbereitschaft
Bitte bewerben Sie sich mit vollständigen Bewerbungsunterlagen und allen Zeugnissen sowie einem Lichtbild und senden Sie die Unterlagen per Mail zu. ",+49 241 80-23421,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19445/,19445,im Bereich PR & Marketing,Studentische Hilfskraft
3,Heuschen,"Sie sind verantwortungsbewusst, zuverlässig und teamfähig und haben je Woche an drei Arbeitstagen ca. 2 Stunden Zeit. Sehr gute Kenntnisse in der Büroorganisation und im Bereich der Office Anwendungen sind erforderlich. Voraussetzung für eine Einstellung sind sehr gute Deutschkenntnisse.","Ihr Aufgabengebiet enthält vor allem folgende Tätigkeiten:
- Unterstützung des Sekretariats in anfallenden Organisationsangelegenheiten
- Vervielfältigungen von Dokumenten
- Ablage
- Postabholung und -verteilung
- Vorbereitung von Veranstaltungen
- Führen/Aktualisieren diverser Listen
- Einsammeln und Abrechnen von Telefongeldern",mailto:sek@se-rwth.de,07.04.2017,Gunder,Lehrstuhl Software Engineering,Am Lehrstuhl für Software Engineering der RWTH Aachen ist ab sofort die Stelle einer studentischen Hilfskraft (w/m) für das Sekretariat zu besetzen.,+49 241 80-21301,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19509/,19509,für das Sekretariat,Studentische Hilfskraft
4,Fraunhofer-Institut für Produktionstechnologie IPT,"Das Fraunhofer IPT ist ein bedeutender Standort für industrienahe Forschung zu aktuellen und innovativen Fertigungstechnologien. Daher ist es unabdingbar, frühzeitig neue Trends und Technologien in der weltweiten Forschungslandschaft zu identifizieren und zu bewerten. Als studentische Hilfskraft (m/w) in der strategischen Projektentwicklung für Nichtkonventionelle Fertigungsverfahren kannst du uns bei dieser Herausforderung unterstützen.
- Recherche von konkreten Technologien und wissenschaftlichen Fragestellungen
- Analyse wissenschaftlicher Literatur in deutscher und englischer Sprache
- Aufbereitung der Ergebnisse, z.B. in Form von Präsentationen oder wissenschaftlichen Texten","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 3 Monate. Eine langfristige Zusammenarbeit ist gewünscht.Die regelmäßige Wochenarbeitszeit beträgt 12 Stunden. Die Arbeitszeit kann flexibel eingeteilt werden.Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:andreas.janssen@ipt.fraunhofer.de,05.05.2017,Dipl.-Phys. Andreas Janssen,"Das Fraunhofer IPT erarbeitet Systemlösungen für die vernetzte, adaptive Produktion. Unsere Auftraggeber und Kooperationspartner kommen aus der gesamten produzierenden Industrie - aus der Luft- und Raumfahrttechnik, dem Automobilbau und seinen Zulieferern, dabei vor allem aus dem Werkzeug- und Formenbau, der feinmechanischen und optischen Industrie, aber auch aus den Life Sciences und vielen anderen Branchen.
Was wir bieten:
- ideale Rahmenbedingungen für Praxiserfahrungen neben dem Studium
- eine exzellente technische Arbeitsausstattung 
- flexible Arbeitszeiten und Mitarbeit in einem engagierten Team","- Du studierst Physik, Technik-Kommunikation oder ein vergleichbares Fach
- Du hast Erfahrung im Umgang mit wissenschaftlicher Literatur und Interesse an Technik-Themen
- gute MS-Office-Kenntnisse sowie ein hohes Maß an Eigeninitiative und Kreativität sind für dich selbstverständlich
- gute Sprachkenntnisse in Deutsch und Englisch",+49 241 8904-446,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19512/,19512,Wissenschaftliche und technologische Konzeptentwicklung,Studentische Hilfskraft
5,FIR e. V. an der RWTH Aachen,"Der Schwerpunkt des Bereichs Produktionsmanagement liegt auf der Gestaltung und informationstechnischen Unterstützung von Geschäftsprozessen produzierender Unternehmen sowie Logistikdienstleistern. Mit seinen drei Themenfeldern Supply-Chain-Management, Produktionsplanung und -regelung sowie dem Competence-Center Logistik adressiert der Bereich die durchgängige und leistungsfähige Planung und Steuerung sowie effiziente Organisation von Produktions- und Logistiksystemen. Zur Unterstützung unseres Teams suchen wir eine studentische Hilfskraft (w/m) für die Themenfelder:
- Industrie 4.0 in Produktion und Logistik (z. B. praxisgerechter Einsatz von Machine-Learning),
- Optimierung von Produktions- und Logistiksystemen (z. B. mithilfe von Simulationsstudien),
- wirtschaftlicher Einsatz generativer Fertigungsverfahren (3D-Druck).
Im Einzelnen mit den folgenden Aufgaben: 
- Unterstützung bei der Arbeit in Industrie- und Forschungsprojekten,
- eigenständige Recherche wissenschaftlicher Texte und Aufbereitung von Literatur,
- Mitarbeit an wissenschaftlichen und praxisbezogenen Veröffentlichungen.
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse. Rückfragen zu Ausschreibung und zu den Aufgaben können gerne telefonisch beantwortet werden.","Die Stelle ist zum 01.05.2017 zu besetzen und befristet auf 1 Jahr.  Interesse an langfristiger Zusammenarbeit besteht.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Tobias.Schroeer@fir.rwth-aachen.de,15.04.2017,"Tobias Schröer, M.Sc.","Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante, anspruchsvolle Aufgaben an der Schnittstelle zwischen Forschung und Praxis,
- Zusammenarbeit mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten.","- Studierende(r) aus den Bereichen Wirtschaftsingenieurwesen, Wirtschaftsinformatik, BWL,
- gute Studienleistungen,
- Grundkenntnisse produktionslogistischer Zusammenhänge,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- beabsichtigte Mindestdauer des Engagements: ca. 1 Jahr.",+49 241 47705-407,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19513/,19513,Studentische Hilfskraft im Bereich Produktionsmanagement (w/m),Studentische Hilfskraft
6,Erik Brümmendorf,"Du studierst Informatik, Elektrotechnik oder hast Erfahrung mit der Implementierung von Front-End-Lösungen und interessierst dich insbesondere für die Front-End Entwicklung von IoT-Anwendungen. Du solltest sicher im Umgang mit HTML, CSS sowie JavaScript sein. Eine Design-Affinität deinerseits ist wünschenswert. Du verfügst über gute Englischkenntnisse und kannst sowohl eigenständig als auch im Team arbeiten.","Du wirst die Entwicklung einer IoT-Web-App begleiten, die eine datenbasierte Analyse des Gebäudebetriebs per Browser ermöglichen wird. Hier ist deine Unterstützung insbesondere bei der Konzeptentwicklung und Programmierung des Front-Ends gefragt. Du wirst einen Einblick in die Umsetzung von UI/UX-Konzepten hin zu nutzerfreundlichen Anwendungen sowie in die Energiesystemtechnik erhalten. Eine flexible Arbeitseinteilung und eine Ausrichtung deiner Tätigkeit auf deine Interessen ist möglich.",mailto:FDorner@eonerc.rwth-aachen.de,15.04.2017,Felix Dorner," E.ON Energy Research Center, Institute for Energy Efficient Buildings and Indoor Climate",Am E.ON Energieforschungszentrum der RWTH Aachen beschäftigt sich eine interdisziplinäre Arbeitsgruppe des Instituts Automation of Complex Power Systems aus der Elektrotechnik und dem Institut Energy Efficient Buildings and Indoor Climate aus dem Maschinenbau mit der zunehmenden Einbindung regenerativer Energien durch dezentrale Versorgungskonzepte. Die Arbeit reicht von Grundlagenforschung bis hin zur Entwicklung von Prototypen und Implementierung von Konzepten im Feld. Hierfür sind softwaretechnische Lösungen für ein User-Interface notwendig.,+49 241 80-49771 ,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19514/,19514,Front-End Entwicklung für IoT-Anwendungen in der Gebäudetechnik,Studentische Hilfskraft
7,FIR e. V. an der RWTH Aachen,"- Unterstützung bei Industrie- und Forschungsprojekten,
- Unterstützung im Tagesgeschäft,
- Dokumentation von Ergebnissen,
- eigenständige Recherche wissenschaftlicher Texte und Aufbereitung von Literatur.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Ein Interesse an langfristiger Zusammenarbeit besteht.Die regelmäßige Wochenarbeitszeit beträgt 8 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Martin.Lenart@fir.rwth-aachen.de,15.04.2017,"Martin Lenart, M.Sc.","Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Eine gute Feedbackkultur,
- interessante und vielseitige Aufgaben,
- ein dynamisches Arbeitsumfeld,
- industrienahe Forschungsprojekte,
- die Möglichkeit zu praxisnahem Wissenserwerb und 
- zu flexibler Zeiteinteilung und eigenständigem Arbeiten.","- Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- Kommunikationsstärke, Diskussionsbereitschaft, Kreativität,
- sicherer Umgang mit MS-Office-Anwendungen,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- Interesse an langfristiger Zusammenarbeit.",+49 241 47705-231,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19511/,19511,Lean Management bei Dienstleistungen in technischen Bereichen,Studentische Hilfskraft
8,Chair for Wind Power Drives,"- Literaturrecherche (z. B. zu kritischen Betriebszuständen in WEA, Einflussgrößen auf Wälzlagerlebensdauer, Raffungsmethoden)
- Erstellung von Präsentationen und Berichten
- Anpassung der vorhandenen MKS Simulationsmodelle
- Durchführung von FE und MKS Simulationen zur Berechnung der lokalen Belastungen an den WEA Wälzlagern
- Erstellung von Lastkollektiven
- Entwicklung von Methoden zur Abbildung der realen Lastsituation auf den Prüfständen","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 6 Monate. Eine langfristige Beschäftigung ist erwünscht und wird auch angestrebt.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:stefan.kock@cwd.rwth-aachen.de,02.05.2017,Stefan Kock,"Der Chair for Wind Power Drives an der RWTH Aachen forscht auf dem Gebiet von Windenergieanlagen (WEA) und betreut verschiedene Lehrveranstaltungen wie Wind-energie und Maschinengestaltung.
Im Rahmen eines von der EU und dem Land NRW geförderten Projektes in Kooperation mit mehreren großen Industriepartnern werden zwei innovative Prüfstände zur Prüfung der WEA Wälzlager konstruiert. Darüber hinaus werden im Projekt versuchszeitraffende Testprozeduren zur Freigabe von WEA Wälzlager entwickelt. Bei der Entwicklung dieser Testprozeduren wird ein HiWi (w/m) zur Unterstützung benötigt.","- eigenständige, zuverlässige Arbeitsweise
- Interesse an FE und MKS Simulationen
- Interesse an Lebensdauerberechnung von Wälzlagern",+49 241 80-95654,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19502/,19502,Entwicklung von versuchszeitraffenden Testprozeduren für Windenergieanlagen Wälzlager,Studentische Hilfskraft
9,Institut für Textiltechnik der RWTH Aachen,"Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet zunächst auf ein halbes Jahr. Die regelmäßige Wochenarbeitszeit beträgt 6 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",,mailto:Goezdem.Dittel@ita.rwth-aachen.de,30.04.2017,Gözdem Dittel,"-Studienrichtung vergleichbar mit Maschinenbau, Architektur, Bau-, Werkstoff-und Wirtschaftsingenieurwesen
-Sehr gute MS Office Kenntnisse
-Spaß an der Anfertigung von Textilbetonbauteilen
-Begeisterung für innovative und interdisziplinäre Ansätze
-Kenntnisse im Bereich Textiltechnik sind von Vorteil","Derzeit suchen wir eine studentische Hilfskraft (w/m) im Themenbereich ""Textiles Bauen"" für die Entwicklung von textilen Strukturen, die Fertigstellung von Betonproben, für Prüflaborarbeiten und für die Durchführung und Auswertung von Versuchen.
Die vielfältigen Forschungsthemen der Abteilung ""Textiles Bauen"" beinhalten zahlreiche und abwechslungsreiche Beschäftigungs möglichkeiten. Durch den Einsatz von Textilien können extrem dünnwandige, korrosionsfreie und gleichzeitig hochfeste Baustrukturen realisiert werden. Nicht nur die Materialeigenschaften, sondern auch die gestalterischen Eigenschaften der Bauteile spielen eine wichtige Rolle in der Architektur und im Bauwesen. Begründet dadurch forschen wir beispielsweise an einer Verwirklichung von gefalteten und gekrümmten Bauelementen und an transluzenten Beton. Eine Beteiligung an der Realisierung unserer innovativen Forschungsprojekte beinhaltet die Erweiterung des persönlichen wissenschaftlichen Horizonts und die Förderung der eigenen Krea-tivität.",+49 241 80-24721,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19496/,19496,We make a BET ON best textiles,Studentische Hilfskraft
